id,date,category,amount,vendor
417,1/12/2024,Travel,$452.66,Safari Bookings Kenya
418,5/6/2024,Travel,$963.27,Fahari Corporate Travel
419,2/4/2024,Office supplies,$567.75,Jambo Stationery Supplies Ltd
420,12/21/2023,Office supplies,$654.43,Lenana Office Solutions
421,5/9/2024,Office supplies,$219.23,Jambo Stationery Supplies Ltd
422,10/21/2023,Office supplies,$825.70,Lenana Office Solutions
423,5/9/2024,Travel,$964.26,Fahari Corporate Travel
424,2/18/2024,Office supplies,$592.19,Faniki Cartridges & Toners
425,12/26/2023,Legal Fees,$451.54,Adler & Associates Advocates
426,11/5/2023,Travel,$614.84,Safari Bookings Kenya
427,7/27/2023,Utilities,$934.11,Maji Bora Water Company (Water)
428,12/25/2023,Utilities,$506.18,Maji Bora Water Company (Water)
429,3/2/2024,Office supplies,$120.95,Faniki Cartridges & Toners
430,5/26/2024,Office supplies,$194.65,Jambo Stationery Supplies Ltd
431,3/2/2024,Legal Fees,$720.21,Nyota Legal Consultants
432,2/18/2024,Office supplies,$70.85,Jambo Stationery Supplies Ltd
433,4/10/2024,Legal Fees,$981.41,Nyota Legal Consultants
434,2/12/2024,Utilities,$951.85,Maji Bora Water Company (Water)
435,5/15/2024,Office supplies,$735.69,Jambo Stationery Supplies Ltd
436,7/2/2023,Legal Fees,$628.75,Harambee Law Chambers
437,10/14/2023,Utilities,$840.57,Simba Internet Ltd. (Internet Service Provider)
438,3/9/2024,Legal Fees,$859.72,Adler & Associates Advocates
439,3/21/2024,Utilities,$699.81,Maji Bora Water Company (Water)
440,7/10/2023,Travel,$583.04,Wilderness Wanderer Tours & Safaris
441,9/10/2023,Travel,$924.64,Wilderness Wanderer Tours & Safaris
442,8/27/2023,Utilities,$293.30,Kestrel Power (Electricity)
443,3/30/2024,Legal Fees,$23.73,Nyota Legal Consultants
444,3/15/2024,Legal Fees,$855.99,Adler & Associates Advocates
445,3/24/2024,Utilities,$432.69,Simba Internet Ltd. (Internet Service Provider)
446,7/6/2023,Office supplies,$332.55,Faniki Cartridges & Toners
447,3/8/2024,Travel,$523.13,Fahari Corporate Travel
448,1/14/2024,Legal Fees,$327.22,Harambee Law Chambers
449,11/18/2023,Travel,$504.05,Safari Bookings Kenya
450,1/20/2024,Travel,$160.46,Wilderness Wanderer Tours & Safaris
451,6/10/2024,Utilities,$571.29,Maji Bora Water Company (Water)
452,2/23/2024,Travel,$513.30,Wilderness Wanderer Tours & Safaris
453,5/7/2024,Travel,$461.52,Fahari Corporate Travel
454,11/6/2023,Utilities,$846.09,Simba Internet Ltd. (Internet Service Provider)
455,7/7/2023,Utilities,$622.98,Maji Bora Water Company (Water)
456,3/26/2024,Travel,$623.76,Wilderness Wanderer Tours & Safaris
457,3/22/2024,Travel,$184.83,Fahari Corporate Travel
458,11/8/2023,Office supplies,$478.14,Jambo Stationery Supplies Ltd
459,8/19/2023,Utilities,$465.65,Kestrel Power (Electricity)
460,4/25/2024,Utilities,$561.46,Kestrel Power (Electricity)
461,3/26/2024,Travel,$371.64,Wilderness Wanderer Tours & Safaris
462,5/24/2024,Legal Fees,$764.41,Adler & Associates Advocates
463,3/11/2024,Office supplies,$139.95,Faniki Cartridges & Toners
464,6/1/2024,Utilities,$180.42,Maji Bora Water Company (Water)
465,9/11/2023,Travel,$243.15,Fahari Corporate Travel
466,1/29/2024,Legal Fees,$100.62,Harambee Law Chambers
467,7/27/2023,Office supplies,$23.68,Jambo Stationery Supplies Ltd
468,7/12/2023,Utilities,$796.08,Maji Bora Water Company (Water)
469,7/24/2023,Travel,$280.83,Fahari Corporate Travel
470,8/18/2023,Utilities,$52.59,Kestrel Power (Electricity)
471,3/23/2024,Legal Fees,$743.16,Harambee Law Chambers
472,3/10/2024,Office supplies,$439.00,Jambo Stationery Supplies Ltd
473,6/14/2023,Legal Fees,$800.90,Adler & Associates Advocates
474,9/26/2023,Utilities,$101.92,Simba Internet Ltd. (Internet Service Provider)
475,8/12/2023,Legal Fees,$468.12,Harambee Law Chambers
476,3/21/2024,Utilities,$915.19,Maji Bora Water Company (Water)
477,5/3/2024,Legal Fees,$826.77,Harambee Law Chambers
478,3/20/2024,Office supplies,$597.81,Faniki Cartridges & Toners
479,12/14/2023,Utilities,$573.28,Maji Bora Water Company (Water)
480,4/11/2024,Utilities,$332.38,Simba Internet Ltd. (Internet Service Provider)
481,3/9/2024,Office supplies,$552.59,Lenana Office Solutions
482,6/6/2024,Utilities,$344.40,Kestrel Power (Electricity)
483,5/10/2024,Travel,$191.43,Fahari Corporate Travel
484,9/1/2023,Utilities,$797.63,Simba Internet Ltd. (Internet Service Provider)
485,9/10/2023,Travel,$911.57,Safari Bookings Kenya
486,8/8/2023,Legal Fees,$568.38,Harambee Law Chambers
487,1/14/2024,Office supplies,$563.26,Faniki Cartridges & Toners
488,1/2/2024,Travel,$416.16,Fahari Corporate Travel
489,12/7/2023,Office supplies,$103.31,Faniki Cartridges & Toners
490,12/26/2023,Office supplies,$141.99,Faniki Cartridges & Toners
491,5/4/2024,Legal Fees,$863.69,Harambee Law Chambers
492,11/30/2023,Travel,$566.67,Wilderness Wanderer Tours & Safaris
493,10/12/2023,Travel,$45.75,Safari Bookings Kenya
494,1/8/2024,Utilities,$372.09,Kestrel Power (Electricity)
495,7/14/2023,Travel,$455.25,Fahari Corporate Travel
496,12/17/2023,Travel,$655.40,Wilderness Wanderer Tours & Safaris
497,3/21/2024,Office supplies,$597.05,Lenana Office Solutions
498,10/24/2023,Office supplies,$115.69,Faniki Cartridges & Toners
499,3/18/2024,Office supplies,$202.91,Jambo Stationery Supplies Ltd
500,12/31/2023,Office supplies,$610.00,Faniki Cartridges & Toners
501,9/28/2023,Travel,$117.65,Wilderness Wanderer Tours & Safaris
502,11/10/2023,Travel,$129.54,Safari Bookings Kenya
503,8/6/2023,Travel,$518.37,Wilderness Wanderer Tours & Safaris
504,2/11/2024,Utilities,$53.19,Simba Internet Ltd. (Internet Service Provider)
505,3/24/2024,Utilities,$315.67,Kestrel Power (Electricity)
506,3/11/2024,Office supplies,$166.32,Faniki Cartridges & Toners
507,1/10/2024,Travel,$790.73,Safari Bookings Kenya
508,8/31/2023,Utilities,$262.01,Kestrel Power (Electricity)
509,12/29/2023,Utilities,$889.08,Simba Internet Ltd. (Internet Service Provider)
510,7/8/2023,Travel,$693.29,Safari Bookings Kenya
511,1/16/2024,Office supplies,$637.25,Faniki Cartridges & Toners
512,12/30/2023,Office supplies,$732.79,Lenana Office Solutions
513,1/7/2024,Legal Fees,$309.50,Adler & Associates Advocates
514,8/14/2023,Office supplies,$358.87,Jambo Stationery Supplies Ltd
515,9/24/2023,Legal Fees,$932.65,Nyota Legal Consultants
516,5/26/2024,Legal Fees,$416.98,Harambee Law Chambers
517,11/1/2023,Office supplies,$603.68,Lenana Office Solutions
518,3/20/2024,Travel,$928.63,Safari Bookings Kenya
519,12/25/2023,Legal Fees,$727.05,Adler & Associates Advocates
520,4/12/2024,Office supplies,$478.37,Faniki Cartridges & Toners
521,6/15/2023,Legal Fees,$145.44,Adler & Associates Advocates
522,10/27/2023,Office supplies,$990.75,Lenana Office Solutions
523,8/1/2023,Office supplies,$669.99,Faniki Cartridges & Toners
524,12/1/2023,Travel,$98.11,Wilderness Wanderer Tours & Safaris
525,5/22/2024,Legal Fees,$170.89,Nyota Legal Consultants
526,5/18/2024,Travel,$232.10,Safari Bookings Kenya
527,8/3/2023,Office supplies,$90.07,Lenana Office Solutions
528,12/25/2023,Legal Fees,$24.28,Adler & Associates Advocates
529,4/12/2024,Utilities,$125.34,Kestrel Power (Electricity)
530,12/4/2023,Utilities,$194.71,Maji Bora Water Company (Water)
531,9/24/2023,Office supplies,$554.67,Lenana Office Solutions
532,2/15/2024,Office supplies,$219.43,Lenana Office Solutions
533,1/23/2024,Legal Fees,$942.42,Nyota Legal Consultants
534,9/9/2023,Travel,$548.99,Fahari Corporate Travel
535,12/8/2023,Utilities,$79.45,Simba Internet Ltd. (Internet Service Provider)
536,11/24/2023,Utilities,$379.38,Maji Bora Water Company (Water)
537,1/22/2024,Utilities,$250.22,Kestrel Power (Electricity)
538,5/7/2024,Legal Fees,$943.59,Adler & Associates Advocates
539,4/18/2024,Legal Fees,$263.75,Adler & Associates Advocates
540,4/2/2024,Utilities,$318.20,Simba Internet Ltd. (Internet Service Provider)
541,6/9/2024,Legal Fees,$842.81,Nyota Legal Consultants
542,10/3/2023,Office supplies,$597.59,Jambo Stationery Supplies Ltd
543,7/1/2023,Legal Fees,$742.47,Nyota Legal Consultants
544,12/15/2023,Utilities,$459.26,Simba Internet Ltd. (Internet Service Provider)
545,12/19/2023,Utilities,$684.37,Simba Internet Ltd. (Internet Service Provider)
546,7/23/2023,Legal Fees,$10.98,Nyota Legal Consultants
547,4/15/2024,Travel,$309.79,Safari Bookings Kenya
548,10/4/2023,Utilities,$889.63,Maji Bora Water Company (Water)
549,2/4/2024,Utilities,$750.28,Maji Bora Water Company (Water)
550,6/24/2023,Legal Fees,$236.81,Harambee Law Chambers
551,4/16/2024,Travel,$910.08,Fahari Corporate Travel
552,3/10/2024,Legal Fees,$138.73,Nyota Legal Consultants
553,5/12/2024,Travel,$174.32,Wilderness Wanderer Tours & Safaris
554,3/19/2024,Travel,$147.65,Wilderness Wanderer Tours & Safaris
555,5/4/2024,Office supplies,$88.71,Lenana Office Solutions
556,12/6/2023,Utilities,$910.55,Simba Internet Ltd. (Internet Service Provider)
557,9/11/2023,Travel,$260.94,Wilderness Wanderer Tours & Safaris
558,12/14/2023,Travel,$421.49,Wilderness Wanderer Tours & Safaris
559,7/7/2023,Utilities,$755.27,Simba Internet Ltd. (Internet Service Provider)
560,3/14/2024,Legal Fees,$838.66,Nyota Legal Consultants
561,3/12/2024,Travel,$538.15,Wilderness Wanderer Tours & Safaris
562,3/28/2024,Legal Fees,$722.15,Nyota Legal Consultants
563,11/6/2023,Travel,$269.36,Wilderness Wanderer Tours & Safaris
564,6/21/2023,Travel,$646.69,Fahari Corporate Travel
565,3/31/2024,Utilities,$461.94,Maji Bora Water Company (Water)
566,10/16/2023,Legal Fees,$160.90,Adler & Associates Advocates
567,12/17/2023,Legal Fees,$774.60,Nyota Legal Consultants
568,7/10/2023,Utilities,$18.00,Simba Internet Ltd. (Internet Service Provider)
569,9/23/2023,Travel,$826.76,Wilderness Wanderer Tours & Safaris
570,6/25/2023,Office supplies,$659.55,Jambo Stationery Supplies Ltd
571,11/9/2023,Travel,$854.57,Safari Bookings Kenya
572,1/30/2024,Office supplies,$784.72,Faniki Cartridges & Toners
573,8/27/2023,Travel,$791.78,Wilderness Wanderer Tours & Safaris
574,9/9/2023,Travel,$964.84,Safari Bookings Kenya
575,3/1/2024,Office supplies,$823.94,Lenana Office Solutions
576,1/28/2024,Utilities,$347.21,Kestrel Power (Electricity)
577,4/13/2024,Travel,$473.51,Safari Bookings Kenya
578,7/8/2023,Utilities,$999.59,Simba Internet Ltd. (Internet Service Provider)
579,6/21/2023,Office supplies,$965.73,Jambo Stationery Supplies Ltd
580,7/3/2023,Travel,$242.24,Wilderness Wanderer Tours & Safaris
581,3/15/2024,Travel,$941.42,Fahari Corporate Travel
582,11/19/2023,Travel,$856.49,Safari Bookings Kenya
583,10/29/2023,Utilities,$980.74,Kestrel Power (Electricity)
584,10/20/2023,Travel,$622.11,Wilderness Wanderer Tours & Safaris
585,11/30/2023,Travel,$328.38,Fahari Corporate Travel
586,10/20/2023,Utilities,$225.60,Maji Bora Water Company (Water)
587,3/20/2024,Travel,$768.46,Wilderness Wanderer Tours & Safaris
588,5/26/2024,Legal Fees,$386.43,Nyota Legal Consultants
589,10/4/2023,Utilities,$324.91,Maji Bora Water Company (Water)
590,5/24/2024,Legal Fees,$966.34,Harambee Law Chambers
591,7/22/2023,Travel,$135.49,Fahari Corporate Travel
592,4/7/2024,Legal Fees,$117.18,Nyota Legal Consultants
593,8/1/2023,Legal Fees,$60.64,Adler & Associates Advocates
594,6/25/2023,Utilities,$814.62,Maji Bora Water Company (Water)
595,5/27/2024,Utilities,$898.57,Kestrel Power (Electricity)
596,3/27/2024,Travel,$484.37,Wilderness Wanderer Tours & Safaris
597,2/21/2024,Office supplies,$476.91,Jambo Stationery Supplies Ltd
598,8/18/2023,Utilities,$713.61,Maji Bora Water Company (Water)
599,3/7/2024,Travel,$721.80,Fahari Corporate Travel
600,8/5/2023,Utilities,$602.10,Maji Bora Water Company (Water)
601,6/14/2023,Utilities,$307.24,Simba Internet Ltd. (Internet Service Provider)
602,2/20/2024,Office supplies,$726.29,Lenana Office Solutions
603,11/2/2023,Legal Fees,$226.47,Nyota Legal Consultants
604,1/29/2024,Travel,$148.26,Fahari Corporate Travel
605,11/29/2023,Travel,$244.55,Safari Bookings Kenya
606,12/17/2023,Travel,$639.56,Safari Bookings Kenya
607,4/10/2024,Office supplies,$179.61,Faniki Cartridges & Toners
608,4/14/2024,Legal Fees,$920.22,Nyota Legal Consultants
609,10/28/2023,Utilities,$278.73,Simba Internet Ltd. (Internet Service Provider)
610,2/28/2024,Office supplies,$639.06,Jambo Stationery Supplies Ltd
611,5/29/2024,Travel,$66.89,Fahari Corporate Travel
612,7/3/2023,Travel,$619.50,Safari Bookings Kenya
613,1/18/2024,Travel,$697.01,Safari Bookings Kenya
614,1/27/2024,Legal Fees,$824.90,Harambee Law Chambers
615,7/8/2023,Utilities,$806.31,Maji Bora Water Company (Water)
616,10/8/2023,Travel,$606.03,Fahari Corporate Travel
617,12/15/2023,Utilities,$94.69,Maji Bora Water Company (Water)
618,6/11/2024,Travel,$676.62,Safari Bookings Kenya
619,12/20/2023,Travel,$258.70,Wilderness Wanderer Tours & Safaris
620,3/7/2024,Utilities,$649.66,Maji Bora Water Company (Water)
621,4/14/2024,Legal Fees,$630.79,Adler & Associates Advocates
622,6/5/2024,Travel,$424.53,Wilderness Wanderer Tours & Safaris
623,11/14/2023,Office supplies,$467.14,Jambo Stationery Supplies Ltd
624,1/26/2024,Legal Fees,$868.54,Harambee Law Chambers
625,10/21/2023,Legal Fees,$934.11,Nyota Legal Consultants
626,7/26/2023,Office supplies,$241.77,Faniki Cartridges & Toners
627,8/29/2023,Travel,$480.73,Fahari Corporate Travel
628,10/14/2023,Utilities,$602.50,Kestrel Power (Electricity)
629,3/14/2024,Office supplies,$39.24,Jambo Stationery Supplies Ltd
630,3/25/2024,Office supplies,$574.17,Jambo Stationery Supplies Ltd
631,3/3/2024,Legal Fees,$866.23,Harambee Law Chambers
632,7/13/2023,Travel,$407.47,Fahari Corporate Travel
633,8/19/2023,Travel,$78.63,Safari Bookings Kenya
634,3/25/2024,Office supplies,$342.55,Jambo Stationery Supplies Ltd
635,2/12/2024,Travel,$220.60,Wilderness Wanderer Tours & Safaris
636,4/17/2024,Legal Fees,$122.10,Adler & Associates Advocates
637,10/12/2023,Office supplies,$874.07,Jambo Stationery Supplies Ltd
638,4/7/2024,Office supplies,$242.45,Lenana Office Solutions
639,3/28/2024,Legal Fees,$666.53,Harambee Law Chambers
640,3/24/2024,Travel,$199.96,Fahari Corporate Travel
641,2/22/2024,Office supplies,$760.86,Jambo Stationery Supplies Ltd
642,3/16/2024,Travel,$636.12,Fahari Corporate Travel
643,3/12/2024,Legal Fees,$46.12,Nyota Legal Consultants
644,8/4/2023,Office supplies,$768.74,Lenana Office Solutions
645,6/22/2023,Office supplies,$35.71,Lenana Office Solutions
646,4/24/2024,Office supplies,$610.82,Faniki Cartridges & Toners
647,11/11/2023,Legal Fees,$396.40,Harambee Law Chambers
648,2/9/2024,Legal Fees,$702.39,Harambee Law Chambers
649,5/25/2024,Office supplies,$837.43,Jambo Stationery Supplies Ltd
650,9/23/2023,Utilities,$587.90,Simba Internet Ltd. (Internet Service Provider)
651,2/25/2024,Utilities,$56.17,Kestrel Power (Electricity)
652,4/16/2024,Utilities,$290.01,Simba Internet Ltd. (Internet Service Provider)
653,8/6/2023,Travel,$633.97,Wilderness Wanderer Tours & Safaris
654,10/5/2023,Legal Fees,$431.75,Nyota Legal Consultants
655,10/26/2023,Legal Fees,$225.54,Nyota Legal Consultants
656,2/22/2024,Office supplies,$815.05,Faniki Cartridges & Toners
657,3/21/2024,Office supplies,$623.70,Jambo Stationery Supplies Ltd
658,7/17/2023,Utilities,$558.39,Simba Internet Ltd. (Internet Service Provider)
659,10/16/2023,Utilities,$708.12,Kestrel Power (Electricity)
660,5/26/2024,Legal Fees,$57.63,Adler & Associates Advocates
661,4/25/2024,Utilities,$968.51,Kestrel Power (Electricity)
662,4/19/2024,Travel,$451.14,Fahari Corporate Travel
663,7/26/2023,Utilities,$37.22,Kestrel Power (Electricity)
664,6/21/2023,Office supplies,$39.70,Jambo Stationery Supplies Ltd
665,3/30/2024,Office supplies,$916.98,Jambo Stationery Supplies Ltd
666,10/3/2023,Legal Fees,$955.40,Nyota Legal Consultants
667,12/23/2023,Legal Fees,$635.82,Adler & Associates Advocates
668,5/5/2024,Travel,$527.30,Wilderness Wanderer Tours & Safaris
669,3/31/2024,Legal Fees,$839.93,Nyota Legal Consultants
670,2/23/2024,Office supplies,$32.32,Jambo Stationery Supplies Ltd
671,11/15/2023,Office supplies,$726.23,Faniki Cartridges & Toners
672,8/1/2023,Travel,$280.71,Wilderness Wanderer Tours & Safaris
673,2/20/2024,Office supplies,$38.63,Faniki Cartridges & Toners
674,9/8/2023,Office supplies,$290.36,Jambo Stationery Supplies Ltd
675,11/18/2023,Utilities,$626.13,Simba Internet Ltd. (Internet Service Provider)
676,11/1/2023,Legal Fees,$26.34,Nyota Legal Consultants
677,1/18/2024,Travel,$355.26,Safari Bookings Kenya
678,7/31/2023,Office supplies,$499.06,Faniki Cartridges & Toners
679,4/1/2024,Utilities,$302.20,Kestrel Power (Electricity)
680,12/22/2023,Legal Fees,$889.73,Harambee Law Chambers
681,5/9/2024,Travel,$38.72,Fahari Corporate Travel
682,9/8/2023,Office supplies,$531.23,Lenana Office Solutions
683,3/21/2024,Legal Fees,$937.24,Harambee Law Chambers
684,5/25/2024,Travel,$369.59,Wilderness Wanderer Tours & Safaris
685,7/3/2023,Travel,$731.60,Wilderness Wanderer Tours & Safaris
686,11/22/2023,Travel,$732.29,Fahari Corporate Travel
687,6/4/2024,Legal Fees,$282.47,Harambee Law Chambers
688,7/19/2023,Travel,$527.11,Wilderness Wanderer Tours & Safaris
689,12/4/2023,Office supplies,$95.74,Faniki Cartridges & Toners
690,1/16/2024,Office supplies,$687.52,Lenana Office Solutions
691,7/11/2023,Office supplies,$255.44,Jambo Stationery Supplies Ltd
692,8/28/2023,Legal Fees,$314.45,Nyota Legal Consultants
693,3/18/2024,Office supplies,$944.78,Jambo Stationery Supplies Ltd
694,12/20/2023,Utilities,$112.68,Kestrel Power (Electricity)
695,5/8/2024,Travel,$632.10,Fahari Corporate Travel
696,10/1/2023,Legal Fees,$480.39,Adler & Associates Advocates
697,1/28/2024,Travel,$980.53,Wilderness Wanderer Tours & Safaris
698,11/14/2023,Legal Fees,$258.64,Nyota Legal Consultants
699,3/14/2024,Office supplies,$28.86,Faniki Cartridges & Toners
700,1/12/2024,Office supplies,$398.98,Lenana Office Solutions
701,7/10/2023,Travel,$21.77,Wilderness Wanderer Tours & Safaris
702,3/27/2024,Office supplies,$125.26,Lenana Office Solutions
703,1/27/2024,Utilities,$129.83,Kestrel Power (Electricity)
704,10/9/2023,Legal Fees,$578.97,Harambee Law Chambers
705,6/18/2023,Office supplies,$729.05,Lenana Office Solutions
706,10/25/2023,Travel,$499.19,Wilderness Wanderer Tours & Safaris
707,9/15/2023,Utilities,$161.87,Simba Internet Ltd. (Internet Service Provider)
708,6/19/2023,Office supplies,$502.39,Lenana Office Solutions
709,5/10/2024,Travel,$395.36,Wilderness Wanderer Tours & Safaris
710,2/12/2024,Utilities,$159.05,Maji Bora Water Company (Water)
711,2/24/2024,Legal Fees,$579.12,Adler & Associates Advocates
712,1/18/2024,Utilities,$893.84,Maji Bora Water Company (Water)
713,2/12/2024,Legal Fees,$64.46,Adler & Associates Advocates
714,11/12/2023,Legal Fees,$987.85,Harambee Law Chambers
715,2/9/2024,Utilities,$122.07,Simba Internet Ltd. (Internet Service Provider)
716,7/17/2023,Legal Fees,$77.63,Harambee Law Chambers
717,7/4/2023,Utilities,$277.55,Kestrel Power (Electricity)
718,3/22/2024,Travel,$945.67,Fahari Corporate Travel
719,3/27/2024,Utilities,$64.79,Maji Bora Water Company (Water)
720,3/16/2024,Utilities,$36.27,Simba Internet Ltd. (Internet Service Provider)
721,7/13/2023,Office supplies,$76.86,Lenana Office Solutions
722,4/17/2024,Travel,$237.42,Wilderness Wanderer Tours & Safaris
723,3/5/2024,Office supplies,$946.95,Faniki Cartridges & Toners
724,10/29/2023,Legal Fees,$265.89,Harambee Law Chambers
725,7/26/2023,Legal Fees,$178.71,Adler & Associates Advocates
726,5/17/2024,Office supplies,$429.27,Faniki Cartridges & Toners
727,3/9/2024,Office supplies,$773.12,Jambo Stationery Supplies Ltd
728,7/15/2023,Legal Fees,$816.66,Harambee Law Chambers
729,7/12/2023,Office supplies,$405.52,Lenana Office Solutions
730,1/27/2024,Travel,$267.85,Fahari Corporate Travel
731,10/29/2023,Utilities,$948.65,Simba Internet Ltd. (Internet Service Provider)
732,9/20/2023,Travel,$771.87,Fahari Corporate Travel
733,4/23/2024,Utilities,$407.98,Simba Internet Ltd. (Internet Service Provider)
734,2/20/2024,Office supplies,$547.95,Faniki Cartridges & Toners
735,9/24/2023,Office supplies,$916.50,Jambo Stationery Supplies Ltd
736,10/4/2023,Utilities,$495.78,Maji Bora Water Company (Water)
737,3/17/2024,Office supplies,$258.34,Lenana Office Solutions
738,6/16/2023,Legal Fees,$337.73,Adler & Associates Advocates
739,1/30/2024,Legal Fees,$93.27,Nyota Legal Consultants
740,9/11/2023,Legal Fees,$770.61,Adler & Associates Advocates
741,7/30/2023,Travel,$260.78,Fahari Corporate Travel
742,10/1/2023,Legal Fees,$855.32,Harambee Law Chambers
743,1/19/2024,Utilities,$393.12,Maji Bora Water Company (Water)
744,1/28/2024,Utilities,$621.90,Maji Bora Water Company (Water)
745,9/22/2023,Utilities,$918.10,Kestrel Power (Electricity)
746,11/13/2023,Travel,$871.32,Wilderness Wanderer Tours & Safaris
747,11/20/2023,Office supplies,$17.73,Faniki Cartridges & Toners
748,6/2/2024,Utilities,$819.85,Maji Bora Water Company (Water)
749,12/28/2023,Utilities,$878.14,Simba Internet Ltd. (Internet Service Provider)
750,12/16/2023,Travel,$117.39,Fahari Corporate Travel
751,6/17/2023,Office supplies,$101.78,Faniki Cartridges & Toners
752,12/22/2023,Utilities,$551.86,Maji Bora Water Company (Water)
753,12/26/2023,Utilities,$141.45,Simba Internet Ltd. (Internet Service Provider)
754,7/15/2023,Utilities,$433.83,Simba Internet Ltd. (Internet Service Provider)
755,7/28/2023,Travel,$92.34,Wilderness Wanderer Tours & Safaris
756,7/12/2023,Office supplies,$498.99,Lenana Office Solutions
757,5/10/2024,Office supplies,$460.51,Faniki Cartridges & Toners
758,1/9/2024,Office supplies,$896.12,Jambo Stationery Supplies Ltd
759,8/7/2023,Travel,$362.58,Fahari Corporate Travel
760,2/19/2024,Legal Fees,$87.40,Nyota Legal Consultants
761,6/28/2023,Travel,$747.24,Safari Bookings Kenya
762,8/4/2023,Travel,$703.42,Wilderness Wanderer Tours & Safaris
763,5/26/2024,Legal Fees,$87.71,Adler & Associates Advocates
764,9/21/2023,Travel,$169.74,Safari Bookings Kenya
765,7/27/2023,Legal Fees,$732.64,Harambee Law Chambers
766,12/11/2023,Office supplies,$78.95,Faniki Cartridges & Toners
767,10/28/2023,Office supplies,$560.28,Faniki Cartridges & Toners
768,2/16/2024,Office supplies,$418.98,Lenana Office Solutions
769,1/31/2024,Travel,$848.78,Wilderness Wanderer Tours & Safaris
770,12/20/2023,Legal Fees,$970.09,Adler & Associates Advocates
771,11/26/2023,Office supplies,$944.09,Lenana Office Solutions
772,4/14/2024,Legal Fees,$501.90,Nyota Legal Consultants
773,9/29/2023,Office supplies,$655.00,Lenana Office Solutions
774,11/17/2023,Travel,$568.22,Safari Bookings Kenya
775,11/22/2023,Legal Fees,$942.50,Harambee Law Chambers
776,11/9/2023,Legal Fees,$779.86,Nyota Legal Consultants
777,1/2/2024,Travel,$89.63,Fahari Corporate Travel
778,11/17/2023,Travel,$638.54,Wilderness Wanderer Tours & Safaris
779,3/14/2024,Office supplies,$781.39,Faniki Cartridges & Toners
780,5/12/2024,Office supplies,$526.18,Jambo Stationery Supplies Ltd
781,6/19/2023,Office supplies,$713.47,Faniki Cartridges & Toners
782,9/29/2023,Office supplies,$58.89,Faniki Cartridges & Toners
783,4/9/2024,Office supplies,$35.14,Lenana Office Solutions
784,12/4/2023,Travel,$847.17,Fahari Corporate Travel
785,7/21/2023,Utilities,$696.83,Maji Bora Water Company (Water)
786,1/5/2024,Office supplies,$575.59,Faniki Cartridges & Toners
787,7/10/2023,Office supplies,$703.18,Lenana Office Solutions
788,5/14/2024,Utilities,$172.24,Simba Internet Ltd. (Internet Service Provider)
789,9/12/2023,Office supplies,$518.38,Jambo Stationery Supplies Ltd
790,9/19/2023,Travel,$543.09,Safari Bookings Kenya
791,1/29/2024,Legal Fees,$839.81,Adler & Associates Advocates
792,12/25/2023,Legal Fees,$773.49,Adler & Associates Advocates
793,4/14/2024,Office supplies,$914.92,Lenana Office Solutions
794,11/17/2023,Legal Fees,$727.73,Adler & Associates Advocates
795,1/2/2024,Utilities,$879.99,Simba Internet Ltd. (Internet Service Provider)
796,1/8/2024,Utilities,$943.85,Kestrel Power (Electricity)
797,4/15/2024,Utilities,$799.31,Simba Internet Ltd. (Internet Service Provider)
798,3/18/2024,Office supplies,$180.72,Jambo Stationery Supplies Ltd
799,2/5/2024,Utilities,$570.92,Maji Bora Water Company (Water)
800,6/7/2024,Legal Fees,$740.79,Nyota Legal Consultants
801,3/30/2024,Utilities,$880.63,Simba Internet Ltd. (Internet Service Provider)
802,3/13/2024,Travel,$460.80,Fahari Corporate Travel
803,9/3/2023,Office supplies,$539.20,Lenana Office Solutions
804,5/26/2024,Travel,$777.76,Safari Bookings Kenya
805,10/11/2023,Legal Fees,$374.38,Nyota Legal Consultants
806,8/3/2023,Travel,$784.12,Wilderness Wanderer Tours & Safaris
807,6/16/2023,Legal Fees,$897.73,Nyota Legal Consultants
808,3/1/2024,Travel,$614.44,Safari Bookings Kenya
809,1/4/2024,Office supplies,$170.29,Jambo Stationery Supplies Ltd
810,8/22/2023,Legal Fees,$622.93,Adler & Associates Advocates
811,6/23/2023,Travel,$603.41,Fahari Corporate Travel
812,6/22/2023,Utilities,$805.58,Kestrel Power (Electricity)
813,8/3/2023,Travel,$483.44,Fahari Corporate Travel
814,12/24/2023,Travel,$53.24,Fahari Corporate Travel
815,5/27/2024,Legal Fees,$420.57,Nyota Legal Consultants
816,2/23/2024,Office supplies,$29.22,Lenana Office Solutions
817,9/21/2023,Legal Fees,$637.37,Harambee Law Chambers
818,10/22/2023,Office supplies,$980.12,Jambo Stationery Supplies Ltd
819,8/11/2023,Legal Fees,$61.01,Harambee Law Chambers
820,9/15/2023,Office supplies,$249.63,Faniki Cartridges & Toners
821,10/1/2023,Travel,$715.47,Wilderness Wanderer Tours & Safaris
822,11/23/2023,Legal Fees,$510.63,Nyota Legal Consultants
823,3/4/2024,Travel,$658.83,Safari Bookings Kenya
824,12/18/2023,Travel,$34.25,Wilderness Wanderer Tours & Safaris
825,7/18/2023,Travel,$809.75,Wilderness Wanderer Tours & Safaris
826,2/17/2024,Legal Fees,$314.77,Nyota Legal Consultants
827,11/30/2023,Utilities,$724.02,Kestrel Power (Electricity)
828,11/23/2023,Office supplies,$299.09,Faniki Cartridges & Toners
